matchKey,homeId,awayId,goalsHome,goalsAway
58-64,58,64,2,1
75-50,75,50,0,0
39-77,39,77,0,1
80-9,80,9,0,2
52-14,52,14,2,1
52-33,52,33,0,1
71-56,71,56,1,0
15-32,15,32,2,0
32-48,32,48,0,0
1-66,1,66,4,2
55-65,55,65,4,1
54-37,54,37,0,0
51-25,51,25,1,1
50-58,50,58,1,2
37-9,37,9,1,0
20-50,20,50,0,0
7-2,7,2,2,1
47-14,47,14,1,0
55-43,55,43,2,2
64-45,64,45,1,0
69-73,69,73,2,1
5-58,5,58,2,0
72-16,72,16,0,1
33-11,33,11,0,2
11-10,11,10,1,1
30-49,30,49,4,0
48-72,48,72,0,0
13-54,13,54,1,1
47-39,47,39,0,1
69-2,69,2,0,1
66-80,66,80,1,0
22-63,22,63,2,0
34-44,34,44,2,0
1-19,1,19,0,2
10-32,10,32,3,0
17-49,17,49,1,1
68-21,68,21,0,0
21-4,21,4,1,0
9-62,9,62,2,0
57-44,57,44,1,1
27-72,27,72,1,1
18-76,18,76,2,0
51-10,51,10,0,2
29-7,29,7,0,1
26-51,26,51,5,1
47-76,47,76,2,0
80-37,80,37,1,3
57-50,57,50,3,0
80-6,80,6,0,5
61-65,61,65,2,1
11-21,11,21,1,1
65-16,65,16,0,2
26-57,26,57,2,1
60-34,60,34,1,0
25-20,25,20,2,2
43-24,43,24,0,0
68-43,68,43,0,0
71-4,71,4,0,2
37-49,37,49,0,1
79-7,79,7,0,1
80-54,80,54,1,0
53-22,53,22,0,3
71-41,71,41,1,1
25-73,25,73,0,0
58-42,58,42,1,0
57-39,57,39,0,1
22-5,22,5,0,0
2-46,2,46,4,0
34-22,34,22,1,1
9-71,9,71,2,0
16-75,16,75,1,1
72-23,72,23,0,2
27-70,27,70,2,0
80-74,80,74,2,0
74-68,74,68,1,1
17-62,17,62,2,0
63-5,63,5,0,3
78-64,78,64,0,1
68-29,68,29,0,1
60-19,60,19,0,3
11-78,11,78,2,1
77-55,77,55,1,0
43-7,43,7,0,1
27-62,27,62,2,0
10-11,10,11,3,0
52-22,52,22,0,0
31-9,31,9,1,2
12-61,12,61,3,0
63-20,63,20,0,2
17-26,17,26,2,1
58-68,58,68,4,0
53-55,53,55,1,3
30-20,30,20,2,2
40-61,40,61,0,1
2-23,2,23,0,1
71-6,71,6,0,5
32-2,32,2,2,2
68-64,68,64,2,0
31-54,31,54,3,1
5-30,5,30,2,0
75-49,75,49,0,0
24-40,24,40,1,1
66-23,66,23,0,3
21-16,21,16,1,2
41-72,41,72,1,0
63-3,63,3,1,2
67-28,67,28,2,3
60-23,60,23,0,0
49-29,49,29,1,0
19-40,19,40,2,0
44-34,44,34,0,1
51-31,51,31,2,1
70-29,70,29,0,2
18-30,18,30,2,0
6-76,6,76,2,1
35-50,35,50,2,0
58-44,58,44,1,2
44-33,44,33,0,2
57-74,57,74,0,0
69-13,69,13,1,1
7-9,7,9,2,0
33-31,33,31,0,1
51-5,51,5,2,1
29-6,29,6,1,2
11-7,11,7,1,2
46-30,46,30,0,0
53-60,53,60,0,2
52-60,52,60,1,2
61-56,61,56,2,0
59-70,59,70,1,0
23-17,23,17,0,1
18-27,18,27,2,0
79-63,79,63,1,0
28-24,28,24,0,0
44-62,44,62,2,0
25-33,25,33,0,3
14-80,14,80,0,0
18-67,18,67,1,0
17-28,17,28,2,0
65-28,65,28,1,1
80-51,80,51,1,0
21-57,21,57,1,1
12-42,12,42,4,0
66-62,66,62,2,0
73-32,73,32,0,4
61-1,61,1,1,1
3-14,3,14,0,1
18-7,18,7,0,1
79-25,79,25,2,0
77-2,77,2,1,1
12-66,12,66,1,0
54-35,54,35,1,0
12-47,12,47,1,1
61-71,61,71,0,1
57-16,57,16,1,1
66-14,66,14,0,2
15-12,15,12,0,0
11-69,11,69,2,1
6-45,6,45,1,0
60-49,60,49,0,1
7-77,7,77,2,0
37-20,37,20,0,2
17-6,17,6,3,0
29-76,29,76,2,0
4-60,4,60,1,1
16-8,16,8,2,1
30-75,30,75,2,0
74-65,74,65,2,1
43-12,43,12,0,3
23-70,23,70,3,0
55-69,55,69,2,1
79-11,79,11,0,1
18-32,18,32,2,2
8-51,8,51,2,0
76-14,76,14,0,0
59-78,59,78,0,0
58-17,58,17,2,1
4-61,4,61,2,0
63-76,63,76,1,1
48-63,48,63,3,0
63-11,63,11,1,2
34-33,34,33,4,0
23-48,23,48,1,0
52-62,52,62,2,0
11-73,11,73,3,0
29-16,29,16,3,1
79-33,79,33,0,2
51-39,51,39,0,1
35-79,35,79,2,0
50-62,50,62,2,1
16-43,16,43,2,0
6-36,6,36,0,2
46-56,46,56,0,1
75-76,75,76,3,3
19-11,19,11,1,2
6-61,6,61,3,0
32-80,32,80,0,0
47-25,47,25,1,1
77-35,77,35,1,1
32-8,32,8,1,2
39-35,39,35,1,2
23-14,23,14,0,1
71-40,71,40,0,0
16-49,16,49,2,0
73-71,73,71,2,1
21-38,21,38,1,2
74-4,74,4,0,1
80-61,80,61,2,1
32-45,32,45,2,1
23-8,23,8,3,2
67-51,67,51,0,2
19-64,19,64,2,0
67-10,67,10,0,1
79-28,79,28,1,2
68-71,68,71,0,0
62-68,62,68,0,1
53-39,53,39,2,0
24-58,24,58,2,0
72-5,72,5,2,1
19-63,19,63,2,0
57-61,57,61,2,1
16-35,16,35,0,1
9-62,9,62,1,0
15-29,15,29,3,0
5-12,5,12,0,1
80-3,80,3,0,2
20-55,20,55,1,1
58-28,58,28,0,0
47-50,47,50,2,1
53-29,53,29,2,1
16-48,16,48,1,0
61-48,61,48,0,1
55-2,55,2,0,2
59-77,59,77,3,0
65-58,65,58,0,1
37-30,37,30,1,0
62-27,62,27,0,2
53-50,53,50,1,0
41-79,41,79,3,0
20-36,20,36,1,1
3-4,3,4,2,2
75-79,75,79,0,0
76-51,76,51,2,0
22-25,22,25,0,2
61-26,61,26,1,2
77-65,77,65,2,2
45-48,45,48,2,0
62-45,62,45,1,2
28-50,28,50,2,0
25-39,25,39,2,0
20-26,20,26,2,2
11-79,11,79,3,0
1-3,1,3,0,0
79-25,79,25,0,3
12-10,12,10,1,1
12-49,12,49,2,0
20-12,20,12,1,2
8-34,8,34,2,1
12-34,12,34,0,0
44-65,44,65,1,0
35-51,35,51,3,0
20-45,20,45,1,0
55-19,55,19,1,0
15-20,15,20,2,0
58-80,58,80,1,0
72-20,72,20,0,2
30-79,30,79,3,0
36-16,36,16,0,1
51-18,51,18,0,1
61-63,61,63,0,2
55-56,55,56,2,0
4-73,4,73,3,0
25-74,25,74,3,0
65-16,65,16,0,3
50-3,50,3,0,1
77-54,77,54,0,1
32-21,32,21,3,1
71-55,71,55,1,1
21-49,21,49,1,0
79-39,79,39,0,1
42-68,42,68,1,0
34-4,34,4,0,0
24-77,24,77,3,0
78-44,78,44,0,0
36-50,36,50,1,0
51-76,51,76,1,0
54-32,54,32,1,4
46-62,46,62,1,0
19-1,19,1,1,1
62-9,62,9,0,1
58-27,58,27,2,2
11-51,11,51,1,0
25-78,25,78,3,1
62-34,62,34,0,0
57-10,57,10,1,4
27-8,27,8,0,0
12-52,12,52,0,1
13-54,13,54,2,0
8-76,8,76,0,0
79-24,79,24,0,1
56-11,56,11,0,3
75-61,75,61,3,0
69-71,69,71,1,0
17-63,17,63,3,0
25-18,25,18,2,2
67-8,67,8,1,2
6-38,6,38,4,0
79-68,79,68,2,0
1-28,1,28,0,0
61-22,61,22,0,1
70-77,70,77,2,0
19-51,19,51,0,1
36-56,36,56,2,0
54-7,54,7,1,3
75-64,75,64,2,0
8-77,8,77,3,0
54-46,54,46,0,1
77-12,77,12,0,3
73-77,73,77,1,2
54-55,54,55,1,0
40-79,40,79,3,0
45-80,45,80,3,0
31-62,31,62,2,0
10-60,10,60,4,1
3-4,3,4,1,1
51-46,51,46,2,0
10-22,10,22,2,2
1-15,1,15,0,1
72-50,72,50,1,3
56-59,56,59,2,1
30-31,30,31,1,0
69-12,69,12,0,2
56-3,56,3,0,2
80-37,80,37,2,0
65-23,65,23,2,0
22-48,22,48,0,0
78-34,78,34,0,1
47-1,47,1,0,2
71-58,71,58,0,0
31-11,31,11,1,0
71-39,71,39,1,3
49-4,49,4,1,0
32-76,32,76,3,1
36-38,36,38,1,1
41-74,41,74,3,0
25-67,25,67,2,0
13-77,13,77,0,0
27-63,27,63,2,0
53-65,53,65,1,0
4-38,4,38,1,1
40-17,40,17,0,1
66-19,66,19,0,3
72-24,72,24,0,1
70-27,70,27,1,0
69-46,69,46,1,2
34-53,34,53,0,0
79-62,79,62,3,1
74-60,74,60,2,2
66-49,66,49,1,0
6-34,6,34,3,0
70-72,70,72,2,1
60-11,60,11,1,1
18-61,18,61,0,0
25-68,25,68,2,0
73-1,73,1,1,3
11-13,11,13,0,3
55-21,55,21,1,0
32-45,32,45,0,0
13-74,13,74,5,1
62-64,62,64,3,1
8-59,8,59,2,0
18-3,18,3,2,3
6-59,6,59,0,0
53-80,53,80,1,1
41-29,41,29,1,1
23-67,23,67,2,0
18-49,18,49,2,0
54-64,54,64,1,1
70-76,70,76,1,1
13-62,13,62,6,0
30-67,30,67,3,0
3-1,3,1,1,0
15-4,15,4,1,1
67-51,67,51,1,3
21-26,21,26,1,0
18-8,18,8,2,0
43-48,43,48,2,0
10-21,10,21,3,1
71-24,71,24,1,3
51-65,51,65,0,0
44-79,44,79,2,2
60-53,60,53,2,2
41-1,41,1,1,2
7-63,7,63,1,1
73-41,73,41,1,1
48-37,48,37,1,0
52-45,52,45,1,2
78-22,78,22,0,1
62-9,62,9,0,2
65-79,65,79,1,1
50-28,50,28,1,1
69-8,69,8,0,1
34-45,34,45,2,0
73-3,73,3,0,0
64-38,64,38,0,1
29-16,29,16,1,1
29-40,29,40,0,0
14-78,14,78,2,1
80-57,80,57,1,1
28-20,28,20,1,2
1-66,1,66,1,0
71-61,71,61,0,1
34-33,34,33,0,1
45-71,45,71,1,0
70-20,70,20,0,1
13-18,13,18,0,0
51-1,51,1,1,2
62-50,62,50,1,1
24-67,24,67,1,0
7-22,7,22,1,0
53-23,53,23,0,2
71-30,71,30,0,0
19-24,19,24,0,1
6-21,6,21,2,1
44-72,44,72,1,0
64-19,64,19,0,3
75-79,75,79,1,0
13-36,13,36,1,1
63-72,63,72,1,0
27-73,27,73,2,0
78-62,78,62,1,0
50-24,50,24,1,2
55-51,55,51,1,2
41-73,41,73,0,0
4-27,4,27,1,0
53-27,53,27,2,1
68-74,68,74,0,1
68-40,68,40,0,1
50-49,50,49,1,0
49-74,49,74,3,0
45-21,45,21,0,1
19-47,19,47,2,0
43-78,43,78,2,1
44-48,44,48,3,1
30-28,30,28,3,1
32-65,32,65,2,0
23-1,23,1,1,3
31-64,31,64,3,0
7-34,7,34,2,0
20-29,20,29,1,2
58-27,58,27,1,0
38-8,38,8,0,1
1-33,1,33,1,1
69-8,69,8,1,1
44-62,44,62,0,0
35-32,35,32,0,2
13-42,13,42,4,0
67-4,67,4,2,1
8-5,8,5,2,1
68-48,68,48,0,0
62-37,62,37,0,3
16-48,16,48,2,1
44-14,44,14,1,1
51-34,51,34,1,4
64-53,64,53,1,2
25-52,25,52,0,0
27-33,27,33,0,0
5-44,5,44,1,1
74-28,74,28,1,0
53-24,53,24,0,1
5-27,5,27,3,0
5-25,5,25,0,0
75-28,75,28,1,1
73-4,73,4,0,2
57-46,57,46,0,0
32-63,32,63,0,0
14-70,14,70,3,1
76-67,76,67,0,1
41-31,41,31,2,1
53-40,53,40,0,3
6-26,6,26,1,0
74-71,74,71,3,0
50-18,50,18,0,1
50-38,50,38,0,0
79-35,79,35,2,1
27-76,27,76,2,1
23-73,23,73,3,0
32-38,32,38,0,3
5-7,5,7,0,2
80-51,80,51,1,2
26-60,26,60,1,0
8-61,8,61,2,0
43-42,43,42,0,1
47-6,47,6,0,4
55-32,55,32,3,0
28-20,28,20,1,1
36-75,36,75,2,0
16-46,16,46,1,0
33-8,33,8,0,2
47-22,47,22,1,0
58-12,58,12,1,1
8-55,8,55,1,0
54-47,54,47,1,0
9-76,9,76,2,1
9-14,9,14,1,1
35-32,35,32,4,2
67-1,67,1,0,2
36-51,36,51,1,2
47-67,47,67,2,1
64-10,64,10,1,4
69-56,69,56,0,1
52-14,52,14,1,2
45-25,45,25,0,2
62-35,62,35,1,3
27-50,27,50,1,0
52-74,52,74,2,0
76-43,76,43,1,2
10-64,10,64,1,0
46-5,46,5,1,2
64-56,64,56,1,2
13-53,13,53,2,0
79-19,79,19,0,4
72-8,72,8,0,4
36-44,36,44,2,0
20-73,20,73,1,0
29-3,29,3,2,1
66-12,66,12,0,1
74-23,74,23,0,2
6-71,6,71,2,0
15-78,15,78,1,2
67-31,67,31,0,0
9-17,9,17,1,0
1-59,1,59,1,1
76-44,76,44,0,0
30-78,30,78,4,1
75-42,75,42,0,3
25-68,25,68,0,0
67-61,67,61,4,1
57-56,57,56,1,0
68-38,68,38,1,1
60-63,60,63,1,1
39-25,39,25,1,1
25-63,25,63,2,0
80-45,80,45,1,1
12-53,12,53,1,0
19-51,19,51,0,0
6-13,6,13,1,0
57-26,57,26,1,1
46-9,46,9,0,1
2-48,2,48,1,1
40-18,40,18,0,4
78-51,78,51,1,1
12-72,12,72,5,1
64-46,64,46,0,2
48-54,48,54,1,2
60-50,60,50,1,0
45-66,45,66,4,0
25-75,25,75,2,0
69-43,69,43,0,2
58-48,58,48,0,4
2-44,2,44,1,0
20-23,20,23,1,0
70-31,70,31,1,0
33-4,33,4,0,1
26-80,26,80,2,0
58-43,58,43,1,2
63-74,63,74,1,1
21-44,21,44,1,1
51-27,51,27,0,1
8-49,8,49,0,0
39-34,39,34,0,2
30-65,30,65,0,0
64-7,64,7,0,1
1-27,1,27,1,0
33-76,33,76,0,0
52-10,52,10,1,2
53-49,53,49,2,2
59-7,59,7,0,3
12-62,12,62,1,0
12-68,12,68,1,0
52-31,52,31,1,0
80-10,80,10,1,2
15-33,15,33,1,1
56-47,56,47,1,0
17-71,17,71,3,0
4-54,4,54,1,0
37-9,37,9,3,1
17-30,17,30,0,1
77-12,77,12,0,2
41-78,41,78,2,1
62-57,62,57,0,2
61-36,61,36,0,2
30-4,30,4,1,0
10-33,10,33,3,0
35-51,35,51,0,2
30-51,30,51,1,0
9-47,9,47,4,0
65-9,65,9,0,3
49-13,49,13,0,1
28-1,28,1,1,5
28-57,28,57,4,0
47-1,47,1,0,1
45-79,45,79,1,0
14-27,14,27,2,0
32-11,32,11,3,0
54-61,54,61,4,0
9-51,9,51,1,1
13-47,13,47,4,0
51-43,51,43,0,1
41-37,41,37,1,0
43-45,43,45,3,1
62-78,62,78,2,1
9-20,9,20,1,0
16-8,16,8,1,1
63-72,63,72,2,0
32-73,32,73,1,2
52-58,52,58,2,2
71-16,71,16,1,2
10-60,10,60,1,0
5-48,5,48,2,0
18-5,18,5,1,1
35-43,35,43,3,0
29-60,29,60,0,2
25-44,25,44,1,0
59-10,59,10,3,3
71-61,71,61,1,0
44-75,44,75,2,0
79-66,79,66,2,0
80-39,80,39,0,0
3-12,3,12,2,1
26-74,26,74,2,0
57-40,57,40,1,0
31-53,31,53,1,0
29-47,29,47,0,0
5-26,5,26,2,1
67-51,67,51,0,1
53-46,53,46,3,1
10-5,10,5,0,2
35-7,35,7,1,2
68-45,68,45,2,2
57-31,57,31,1,0
11-30,11,30,3,0
78-57,78,57,1,2
69-42,69,42,0,0
72-14,72,14,1,2
80-24,80,24,3,0
26-38,26,38,1,1
15-65,15,65,1,0
48-57,48,57,1,1
47-36,47,36,2,0
45-9,45,9,2,2
72-61,72,61,0,1
19-54,19,54,2,0
48-35,48,35,1,1
39-30,39,30,0,1
36-17,36,17,0,1
12-2,12,2,3,2
50-20,50,20,0,1
1-61,1,61,2,1
19-40,19,40,1,1
18-3,18,3,2,1
54-39,54,39,0,2
33-51,33,51,1,1
16-57,16,57,2,2
53-45,53,45,1,3
56-80,56,80,0,0
5-77,5,77,1,0
14-45,14,45,2,2
56-29,56,29,4,1
63-49,63,49,1,0
5-67,5,67,1,1
72-3,72,3,0,3
55-7,55,7,1,3
19-77,19,77,3,0
66-42,66,42,0,0
43-9,43,9,1,0
48-77,48,77,5,0
79-37,79,37,1,2
17-49,17,49,0,0
72-73,72,73,2,0
28-77,28,77,1,1
5-51,5,51,2,0
14-1,14,1,3,2
9-29,9,29,1,0
53-77,53,77,2,0
30-7,30,7,0,1
59-69,59,69,1,0
56-73,56,73,0,0
15-21,15,21,1,1
77-39,77,39,1,0
19-64,19,64,2,0
18-31,18,31,1,0
52-80,52,80,2,0
58-67,58,67,3,2
60-55,60,55,0,0
59-79,59,79,2,1
74-5,74,5,0,1
12-52,12,52,1,0
42-25,42,25,0,2
19-72,19,72,2,0
48-3,48,3,2,1
17-64,17,64,1,0
66-34,66,34,0,2
47-50,47,50,2,1
70-4,70,4,1,1
47-77,47,77,3,1
22-78,22,78,4,0
5-55,5,55,2,1
59-9,59,9,1,3
78-49,78,49,0,2
55-4,55,4,0,2
27-55,27,55,0,1
27-40,27,40,2,0
73-59,73,59,1,0
27-76,27,76,0,1
39-61,39,61,2,0
29-19,29,19,0,4
67-13,67,13,2,0
34-42,34,42,3,0
14-54,14,54,0,0
58-75,58,75,2,1
17-31,17,31,3,0
1-47,1,47,2,0
51-33,51,33,1,1
15-4,15,4,1,3
59-10,59,10,0,2
10-8,10,8,0,3
71-80,71,80,2,1
3-44,3,44,1,0
61-45,61,45,2,0
56-3,56,3,1,0
2-27,2,27,2,1
57-38,57,38,0,3
19-57,19,57,1,1
2-45,2,45,2,0
69-80,69,80,1,1
48-34,48,34,1,1
1-17,1,17,2,1
43-51,43,51,0,0
24-15,24,15,2,0
40-35,40,35,0,1
41-32,41,32,0,1
62-27,62,27,0,1
44-8,44,8,0,2
71-9,71,9,1,1
78-23,78,23,0,2
67-37,67,37,1,1
39-36,39,36,0,2
9-17,9,17,0,0
11-14,11,14,1,1
67-6,67,6,1,3
70-2,70,2,1,1
23-65,23,65,2,1
31-19,31,19,2,2
29-12,29,12,2,0
17-44,17,44,2,0
32-80,32,80,2,0
57-32,57,32,1,0
63-14,63,14,2,1
43-38,43,38,1,1
18-9,18,9,2,1
65-15,65,15,0,1
21-23,21,23,0,2
56-63,56,63,0,0
78-50,78,50,1,0
61-31,61,31,1,3
13-59,13,59,3,0
49-39,49,39,2,2
79-52,79,52,0,1
32-19,32,19,1,0
67-51,67,51,1,1
36-55,36,55,0,0
30-38,30,38,2,1
37-71,37,71,0,0
51-59,51,59,1,1
29-65,29,65,1,0
9-65,9,65,0,0
72-6,72,6,0,3
30-65,30,65,3,0
53-17,53,17,0,1
14-43,14,43,2,1
51-14,51,14,1,3
1-47,1,47,3,0
67-25,67,25,0,2
34-64,34,64,2,0
13-27,13,27,1,0
67-39,67,39,0,0
2-58,2,58,0,0
12-16,12,16,3,1
60-72,60,72,2,2
73-80,73,80,6,1
67-52,67,52,2,0
31-29,31,29,2,0
36-66,36,66,0,0
2-51,2,51,0,0
52-63,52,63,3,0
11-24,11,24,2,0
10-33,10,33,2,0
71-43,71,43,1,2
52-41,52,41,5,0
23-42,23,42,1,1
34-8,34,8,3,1
4-74,4,74,0,0
6-45,6,45,2,1
43-44,43,44,1,1
10-78,10,78,4,0
45-48,45,48,1,0
54-42,54,42,2,0
72-74,72,74,3,1
75-12,75,12,1,2
26-71,26,71,3,0
11-62,11,62,3,0
45-70,45,70,0,1
61-67,61,67,3,0
79-37,79,37,1,2
14-39,14,39,1,2
1-54,1,54,1,0
20-57,20,57,0,0
42-70,42,70,0,1
69-3,69,3,0,0
58-12,58,12,0,1
48-39,48,39,0,2
35-56,35,56,0,0
76-77,76,77,1,1
61-69,61,69,1,0
47-20,47,20,0,2
63-47,63,47,0,2
80-32,80,32,2,2
43-40,43,40,4,0
53-68,53,68,0,0
19-44,19,44,2,0
15-73,15,73,3,1
31-44,31,44,0,0
6-63,6,63,3,0
65-50,65,50,2,1
18-52,18,52,0,0
24-14,24,14,0,2
35-22,35,22,1,0
79-61,79,61,0,0
68-11,68,11,0,1
21-66,21,66,0,0
21-23,21,23,2,1
33-75,33,75,1,1
28-20,28,20,0,3
49-4,49,4,0,2
70-47,70,47,0,1
6-22,6,22,2,0
76-68,76,68,2,1
34-56,34,56,3,0
76-58,76,58,0,2
7-22,7,22,0,2
51-1,51,1,1,3
60-13,60,13,1,0
40-55,40,55,0,1
26-7,26,7,0,0
25-74,25,74,4,1
68-24,68,24,1,2
46-74,46,74,1,0
57-4,57,4,0,1
34-3,34,3,2,0
7-61,7,61,4,0
38-70,38,70,1,0
24-44,24,44,1,0
78-68,78,68,0,1
70-26,70,26,0,1
4-3,4,3,0,3
2-67,2,67,4,0
27-77,27,77,4,2
60-2,60,2,0,2
2-37,2,37,0,0
9-50,9,50,0,0
11-34,11,34,2,1
27-23,27,23,0,3
14-30,14,30,0,0
75-11,75,11,1,0
39-22,39,22,0,2
34-11,34,11,3,1
22-77,22,77,2,1
11-20,11,20,1,1
35-60,35,60,2,0
76-57,76,57,0,3
21-65,21,65,3,0
12-10,12,10,1,0
14-71,14,71,3,0
8-37,8,37,1,3
32-55,32,55,2,1
42-76,42,76,1,1
65-1,65,1,0,0
68-13,68,13,2,1
52-80,52,80,1,0
62-25,62,25,2,1
79-58,79,58,0,0
64-55,64,55,0,0
39-32,39,32,3,0
7-43,7,43,1,1
17-71,17,71,1,0
40-51,40,51,1,1
31-62,31,62,1,1
47-80,47,80,0,2
28-26,28,26,1,1
19-13,19,13,1,2
62-61,62,61,0,1
51-56,51,56,0,1
4-16,4,16,1,3
20-54,20,54,0,0
66-20,66,20,0,3
9-60,9,60,3,0
40-72,40,72,1,2
60-40,60,40,0,0
57-61,57,61,3,0
6-60,6,60,3,0
46-61,46,61,0,0
6-43,6,43,2,2
55-46,55,46,0,0
63-60,63,60,4,3
35-37,35,37,1,1
65-70,65,70,3,2
68-29,68,29,0,2
22-32,22,32,1,0
37-58,37,58,0,1
53-30,53,30,0,0
80-68,80,68,3,0
65-67,65,67,3,0
64-79,64,79,1,0
69-75,69,75,2,3
29-9,29,9,1,1
58-73,58,73,2,0
20-74,20,74,3,0
35-47,35,47,1,0
75-23,75,23,0,2
35-73,35,73,1,1
20-42,20,42,2,0
67-29,67,29,0,1
70-21,70,21,0,2
54-67,54,67,1,1
23-7,23,7,0,3
48-1,48,1,0,0
9-31,9,31,0,0
11-43,11,43,3,1
75-34,75,34,1,0
35-42,35,42,2,0
6-17,6,17,0,0
64-60,64,60,0,1
34-42,34,42,0,0
7-9,7,9,4,0
76-63,76,63,0,1
73-39,73,39,0,0
24-41,24,41,1,0
25-53,25,53,0,1
62-4,62,4,0,2
43-65,43,65,1,1
71-9,71,9,0,2
24-76,24,76,4,0
50-70,50,70,3,0
14-68,14,68,2,0
24-15,24,15,0,0
37-23,37,23,1,1
76-18,76,18,0,1
41-67,41,67,0,1
37-67,37,67,5,1
5-63,5,63,1,1
50-68,50,68,2,1
45-29,45,29,1,2
74-33,74,33,1,1
49-39,49,39,1,1
67-26,67,26,0,1
6-56,6,56,0,0
20-32,20,32,1,3
42-78,42,78,0,0
77-80,77,80,1,1
42-5,42,5,0,0
13-63,13,63,1,0
16-57,16,57,2,1
4-39,4,39,0,0
35-17,35,17,0,2
55-30,55,30,1,0
51-40,51,40,2,2
5-53,5,53,2,1
64-39,64,39,0,2
78-66,78,66,1,1
18-7,18,7,1,0
62-74,62,74,0,2
32-53,32,53,1,3
72-36,72,36,0,3
42-68,42,68,1,0
26-78,26,78,4,0
63-70,63,70,1,0
80-36,80,36,2,2
48-22,48,22,0,4
42-49,42,49,0,0
47-77,47,77,0,0
29-52,29,52,1,1
6-51,6,51,1,0
79-40,79,40,0,2
23-45,23,45,1,2
37-31,37,31,2,0
8-30,8,30,0,1
79-74,79,74,1,1
51-46,51,46,1,0
30-60,30,60,3,0
42-39,42,39,0,4
73-35,73,35,1,1
76-79,76,79,3,1
55-45,55,45,0,1
65-21,65,21,1,2
70-46,70,46,1,1
77-3,77,3,0,1
2-3,2,3,0,0
70-40,70,40,2,0
12-69,12,69,1,2
6-14,6,14,1,2
63-46,63,46,1,1
33-41,33,41,2,0
49-76,49,76,2,0
57-19,57,19,1,0
17-54,17,54,1,0
9-39,9,39,1,1
73-65,73,65,0,0
36-69,36,69,3,0
53-39,53,39,1,3
77-12,77,12,0,1
11-38,11,38,1,0
